icao,iata,name,lat,lon,elev,tz,name_ext,city,region,country
EDHI,XFW,Hamburg Finkenwerder,53.535886,9.837025,9.0,Europe/Berlin,Hamburg Finkenwerder Airport,Hamburg,, Germany
EDHK,KEL,Kiel Holtenau,54.3795,10.145167,24.0,Europe/Berlin,Kiel Airport,Kiel, Schleswig-Holstein, Germany
EDHL,LBC,Lubeck Blankensee,53.805367,10.719222,18.0,Europe/Berlin,Lübeck Airport,Lübeck, Schleswig-Holstein, Germany
EDLA,ZCA,Arnsberg Menden,51.483333,7.899333,240.0,Europe/Berlin,,,,
EDLE,ESS,Essen Mulheim,51.402333,6.937333,122.0,Europe/Berlin,Essen/Mülheim Airport,Essen, North Rhine-Westphalia, Germany
EDLN,MGL,Monchengladbach,51.230356,6.504494,29.0,Europe/Berlin,Düsseldorf Mönchengladbach Airport,Mönchengladbach, North Rhine-Westphalia, Germany
EDLP,PAD,Paderborn Lippstadt,51.614089,8.616317,219.0,Europe/Berlin,Paderborn Lippstadt Airport,Paderborn / Lippstadt, North Rhine-Westphalia, Germany
EDLW,DTM,Dortmund,51.518314,7.612242,129.0,Europe/Berlin,Dortmund Airport,Dortmund, North Rhine-Westphalia, Germany
EDMA,AGB,Augsburg,48.425158,10.931764,454.0,Europe/Berlin,Augsburg Airport,Augsburg, Bavaria, Germany
EDMO,OBF,Oberpfaffenhofen,48.081364,11.283067,589.0,Europe/Berlin,Oberpfaffenhofen Airport,Oberpfaffenhofen, Bavaria, Germany
EDNY,FDH,Friedrichshafen,47.671317,9.511486,412.0,Europe/Berlin,Friedrichshafen Airport (Bodensee Airport),Friedrichshafen, Baden-Württemberg, Germany
EDOP,SZW,Schwerin Parchim,53.426997,11.783436,39.0,Europe/Berlin,Schwerin-Parchim International Airport,Schwerin, Mecklenburg-Vorpommern, Germany
EDOV,ZSN,Stendal Borstel,52.627778,11.818333,48.0,Europe/Berlin,,,,
EDQD,BYU,Bayreuth,49.984428,11.638569,489.0,Europe/Berlin,Bindlacher Berg Airport,Bayreuth, Bavaria, Germany
EDQM,HOQ,Hof Plauen,50.288836,11.854919,582.0,Europe/Berlin,Hof–Plauen Airport,Hof, Bavaria, Germany
EDRK,ZNV,Koblenz Winningen,50.3255,7.528666999999999,214.0,Europe/Berlin,,,,
EDRT,ZQF,Trier Fohren,49.8635,6.788167,201.0,Europe/Berlin,,,,
EDRY,ZQC,Speyer,49.302776,8.451195,89.0,Europe/Berlin,,,,
EDTD,ZQL,Donaueschingen Villingen,47.973331,8.522223,667.0,Europe/Berlin,,,,
EDVE,BWE,Braunschweig Wolfsburg,52.319167,10.556111,81.0,Europe/Berlin,Braunschweig–Wolfsburg Airport,Braunschweig, Lower Saxony, Germany
EDVK,KSF,Kassel Calden,51.408394,9.377631,286.0,Europe/Berlin,Kassel Airport,Kassel, Hesse, Germany
EDWB,BRV,Bremerhaven,53.50708100000001,8.572878,11.0,Europe/Berlin,Bremerhaven Airport,Bremerhaven, Bremen, Germany
EDWE,EME,Emden,53.391186,7.227408,10.0,Europe/Berlin,Emden Airport,Emden, Lower Saxony, Germany
EDWI,WVN,Wilhelmshaven Mariensiel,53.504833,8.053333,12.0,Europe/Berlin,JadeWeserAirport,Wilhelmshaven, Lower Saxony, Germany
EDWR,BMK,Borkum,53.5955,6.709167,9.0,Europe/Berlin,Borkum Airfield,Borkum, Lower Saxony, Germany
EDWY,NRD,Norderney,53.706822,7.230247,5.0,Europe/Berlin,Norderney Airport,Norderney, Lower Saxony, Germany
EDXF,FLF,Flensburg Schaferhaus,54.771772,9.378214,30.0,Europe/Berlin,Flensburg-Schäferhaus Airport,Flensburg, Schleswig-Holstein, Germany
EDXW,GWT,Westerland Sylt,54.91325,8.340472,9.0,Europe/Berlin,Sylt Airport (Westerland Airport),Sylt, Schleswig-Holstein, Germany
EEKA,KDL,Kardla,58.990756000000005,22.830733,6.0,Europe/Tallinn,Kärdla Airport,Kärdla,, Estonia
EEKE,URE,Kuressaare,58.229883,22.509494,6.0,Europe/Tallinn,Kuressaare Airport,Kuressaare,, Estonia
EEPU,EPU,Parnu,58.41904399999999,24.472819,21.0,Europe/Tallinn,Pärnu Airport,Pärnu,, Estonia
EETN,TLL,Tallinn,59.413317000000006,24.832844,37.0,Europe/Tallinn,Tallinn Airport (Lennart Meri Tallinn Airport),Tallinn,, Estonia
EETU,TAY,Tartu,58.307461,26.690428000000004,64.0,Europe/Tallinn,Tartu Airport,Tartu,, Estonia
EFET,ENF,Enontekio,68.362586,23.424322,308.0,Europe/Helsinki,Enontekiö Airport,Enontekiö,, Finland
EFHA,KEV,Halli,61.85605,24.7866,135.0,Europe/Helsinki,Halli Airport,Kuorevesi,, Finland
EFHF,HEM,Helsinki Malmi,60.254558,25.042828,14.0,Europe/Helsinki,Helsinki-Malmi Airport,Helsinki,, Finland
EFHK,HEL,Helsinki Vantaa,60.317222,24.963333,50.0,Europe/Helsinki,Helsinki Airport (Helsinki-Vantaa Airport),Helsinki,, Finland
